date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:23:33	102904/102904	---M--	200	added ('OK')	image/jpeg	etag:%22fb79bf4db6473548569b1c8acc505d5d%22	https://pro2-bar-s3-cdn-cf4.myportfolio.com/6cb08496-3719-4da6-84f5-4acbd62a57a5/ffb889a9-532b-4d61-b337-518a83b6d016.JPG?h=e0e967f2df9a35e272665c4bc3a52701	C:/My%20Web%20Sites/Alec%20Portfolio%203/pro2-bar-s3-cdn-cf4.myportfolio.com/6cb08496-3719-4da6-84f5-4acbd62a57a5/ffb889a9-532b-4d61-b337-518a83b6d016d52d.jpg	(from https://cromeralec.myportfolio.com/personal-projects)
19:23:33	137860/137860	---M--	200	added ('OK')	image/jpeg	etag:%2266b3380e0ca2c499da2bc861614fa511%22	https://pro2-bar-s3-cdn-cf4.myportfolio.com/6cb08496-3719-4da6-84f5-4acbd62a57a5/ffb889a9-532b-4d61-b337-518a83b6d016_rw_1200.JPG?h=a5f20a88d4ca707bbce99904e63709b9	C:/My%20Web%20Sites/Alec%20Portfolio%203/pro2-bar-s3-cdn-cf4.myportfolio.com/6cb08496-3719-4da6-84f5-4acbd62a57a5/ffb889a9-532b-4d61-b337-518a83b6d016_rw_12009980.jpg	(from https://cromeralec.myportfolio.com/personal-projects)
19:23:34	152301/152301	---M--	200	added ('OK')	image/jpeg	etag:%22b9bd1ccd1bedbec2d2136b6216119aa4%22	https://pro2-bar-s3-cdn-cf3.myportfolio.com/6cb08496-3719-4da6-84f5-4acbd62a57a5/ec61cd09-9971-43d0-b814-f816c4fb631c.JPG?h=24adcf457f6ed13c39615c5979ea2e51	C:/My%20Web%20Sites/Alec%20Portfolio%203/pro2-bar-s3-cdn-cf3.myportfolio.com/6cb08496-3719-4da6-84f5-4acbd62a57a5/ec61cd09-9971-43d0-b814-f816c4fb631cd92f.jpg	(from https://cromeralec.myportfolio.com/personal-projects)
19:23:34	203086/203086	---M--	200	added ('OK')	image/jpeg	etag:%22ddf45cc09a4029ea22e5db96c490ad17%22	https://pro2-bar-s3-cdn-cf3.myportfolio.com/6cb08496-3719-4da6-84f5-4acbd62a57a5/ec61cd09-9971-43d0-b814-f816c4fb631c_rw_1200.JPG?h=9265f2f0e4c45ffea0844f847e6eed9c	C:/My%20Web%20Sites/Alec%20Portfolio%203/pro2-bar-s3-cdn-cf3.myportfolio.com/6cb08496-3719-4da6-84f5-4acbd62a57a5/ec61cd09-9971-43d0-b814-f816c4fb631c_rw_1200df20.jpg	(from https://cromeralec.myportfolio.com/personal-projects)
19:23:34	506379/506379	---M--	200	added ('OK')	image/jpeg	etag:%225db9a521b3e85b29e8f2a76e22ad0fd2%22	https://pro2-bar-s3-cdn-cf.myportfolio.com/6cb08496-3719-4da6-84f5-4acbd62a57a5/8d9e6b47-7dfe-45e9-8873-261f135f34d9.jpg?h=191d09856033ebd9c028dc2f0a5d2f12	C:/My%20Web%20Sites/Alec%20Portfolio%203/pro2-bar-s3-cdn-cf.myportfolio.com/6cb08496-3719-4da6-84f5-4acbd62a57a5/8d9e6b47-7dfe-45e9-8873-261f135f34d9fe4a.jpg	(from https://cromeralec.myportfolio.com/image-classification-system)
19:23:35	802034/802034	---M--	200	added ('OK')	image/jpeg	etag:%2235a515e0e0f8b5c3e9afb491b2c99ed4%22	https://pro2-bar-s3-cdn-cf.myportfolio.com/6cb08496-3719-4da6-84f5-4acbd62a57a5/8d9e6b47-7dfe-45e9-8873-261f135f34d9_rw_1920.jpg?h=0aac6ce49dcf7020a2d16befea4d230b	C:/My%20Web%20Sites/Alec%20Portfolio%203/pro2-bar-s3-cdn-cf.myportfolio.com/6cb08496-3719-4da6-84f5-4acbd62a57a5/8d9e6b47-7dfe-45e9-8873-261f135f34d9_rw_19206ffe.jpg	(from https://cromeralec.myportfolio.com/image-classification-system)
19:23:35	508010/508010	---M--	200	added ('OK')	image/jpeg	etag:%221c4441fc1153ab8719490806f51849cb%22	https://pro2-bar-s3-cdn-cf.myportfolio.com/6cb08496-3719-4da6-84f5-4acbd62a57a5/b421296a-ed47-4f1f-9ae0-e44fa04a4932.jpg?h=5f9af635325e1a771918bebbc420bfc0	C:/My%20Web%20Sites/Alec%20Portfolio%203/pro2-bar-s3-cdn-cf.myportfolio.com/6cb08496-3719-4da6-84f5-4acbd62a57a5/b421296a-ed47-4f1f-9ae0-e44fa04a493227e4.jpg	(from https://cromeralec.myportfolio.com/image-classification-system)
19:23:35	789505/789505	---M--	200	added ('OK')	image/jpeg	etag:%22f4add4651f462234276effad1d5ac350%22	https://pro2-bar-s3-cdn-cf.myportfolio.com/6cb08496-3719-4da6-84f5-4acbd62a57a5/b421296a-ed47-4f1f-9ae0-e44fa04a4932_rw_1920.jpg?h=179ca6475d2abe65053b5a10251e9b16	C:/My%20Web%20Sites/Alec%20Portfolio%203/pro2-bar-s3-cdn-cf.myportfolio.com/6cb08496-3719-4da6-84f5-4acbd62a57a5/b421296a-ed47-4f1f-9ae0-e44fa04a4932_rw_1920433a.jpg	(from https://cromeralec.myportfolio.com/image-classification-system)
19:23:36	193013/193013	---M--	200	added ('OK')	image/jpeg	etag:%226c98b94f205debf044aa817f5d21f7f4%22	https://pro2-bar-s3-cdn-cf2.myportfolio.com/6cb08496-3719-4da6-84f5-4acbd62a57a5/ded15bb5-beb3-47fc-b106-218be72b00ec.jpg?h=e4f71451afd44c735a916729b381d7f6	C:/My%20Web%20Sites/Alec%20Portfolio%203/pro2-bar-s3-cdn-cf2.myportfolio.com/6cb08496-3719-4da6-84f5-4acbd62a57a5/ded15bb5-beb3-47fc-b106-218be72b00eca165.jpg	(from https://cromeralec.myportfolio.com/image-classification-system)
19:23:36	266853/266853	---M--	200	added ('OK')	image/jpeg	etag:%2249e1b6ad3573247d69aa69af6e55642a%22	https://pro2-bar-s3-cdn-cf2.myportfolio.com/6cb08496-3719-4da6-84f5-4acbd62a57a5/ded15bb5-beb3-47fc-b106-218be72b00ec_rw_1920.jpg?h=2157df472100aadae04438b8b9e7aa9a	C:/My%20Web%20Sites/Alec%20Portfolio%203/pro2-bar-s3-cdn-cf2.myportfolio.com/6cb08496-3719-4da6-84f5-4acbd62a57a5/ded15bb5-beb3-47fc-b106-218be72b00ec_rw_1920f694.jpg	(from https://cromeralec.myportfolio.com/image-classification-system)
